team,team_name,elo,as_of,source_url,source_note
NOR,Norway,1914,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
NZL,New Zealand,1560,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
PAN,Panama,1640,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
PAR,Paraguay,1710,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
POR,Portugal,1989,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
QAT,Qatar,1570,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
RSA,South Africa,1675,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
SCO,Scotland,1765,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
SEN,Senegal,1860,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
SUI,Switzerland,1830,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
SWE,Sweden,1715,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
TUN,Tunisia,1650,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
TUR,Turkiye,1800,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
URU,Uruguay,1892,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
USA,USA,1780,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
UZB,Uzbekistan,1670,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
